cmc_id,symbol,name,chainid,address,verified,contract,is_proxy,ch1,ch1_event,ch1_logs,ch1_firstblock,ch3,ch3_event,ch3_logs,ch3_firstblock,ch2
2110,DOV,Dovu,1,0xac3211a5025414af2866ff09c23fc18bc97e79b1,True,BurnableCrowdsaleToken,0,-,,,,-,,,,Transfer(universal)
2120,FUEL,Etherparty,1,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,True,FuelToken,0,-,,,,-,,,,Transfer(universal)
2165,ERC20,ERC20,1,0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA,True,TokenERC20,0,-,,,,-,,,,Transfer(universal)
2176,HST,Decision Token,1,0x554c20b7c486beee439277b4540a434566dc4c02,True,DecisionToken,0,-,,,,-,,,,Transfer(universal)
2202,PRL,Oyster,1,0x1844b21593262668b7248d0f57a220caaba46ab9,True,OysterPearl,0,-,,,,-,,,,Transfer(universal)
2223,VEE,BLOCKv,1,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,True,BlockvToken,0,-,,,,-,,,,Transfer(universal)
2239,LEND,Aave,1,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,True,EthLendToken,0,-,,,,-,,,,Transfer(universal)
2273,UQC,Uquid Coin,1,0x8806926ab68eb5a7b909dcaf6fdbe5d93271d6e2,True,UquidCoin,0,-,,,,-,,,,Transfer(universal)
2277,SMT,SmartMesh,1,0x55f93985431fc9304077687a35a1ba103dc1e081,True,SMT,0,-,,,,-,,,,Transfer(universal)
2296,OST,OST,1,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca,True,SimpleToken,0,-,,,,-,,,,Transfer(universal)
2308,SAI,Single Collateral DAI ,1,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,True,DSToken,0,-,,,,-,,,,Transfer(universal)
2318,NEU,Neumark,1,0xa823e6722006afe99e91c30ff5295052fe6b8e32,True,Neumark,0,-,,,,-,,,,Transfer(universal)
2320,UTK,xMoney,1,0xdc9Ac3C20D1ed0B540dF9b1feDC10039Df13F99c,True,UtrustToken,0,-,,,,-,,,,Transfer(universal)
2324,ONE,BigONE Token,1,0x946551dd05c5abd7cc808927480225ce36d8c475,True,Token,0,-,,,,-,,,,Transfer(universal)
2341,SWFTC,SwftCoin,1,0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,True,SwftCoin,0,-,,,,-,,,,Transfer(universal)
2363,ZAP,Zap,1,0x6781a0f84c7e9e846dcb84a9a5bd49333067b104,True,ZapToken,0,-,,,,-,,,,Transfer(universal)
2377,LEV,Leverj,1,0x0f4ca92660efad97a9a70cb0fe969c755439772c,True,HumanStandardToken,0,-,,,,-,,,,Transfer(universal)
2410,SPC,SpaceChain,1,0x86ed939b500e121c0c5f493f399084db596dad20,True,SpaceChain,0,-,,,,-,,,,Transfer(universal)
2424,AGIX,SingularityNET,1,0x5B7533812759B45C2B44C19e320ba2cD2681b542,True,SingularityNetToken,0,-,,,,-,,,,Transfer(universal)
2430,HOT,Hydro Protocol,1,0x9af839687f6c94542ac5ece2e317daae355493a1,True,HydroToken,0,-,,,,-,,,,Transfer(universal)
2496,POLY,Polymath,1,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,True,PolyToken,0,-,,,,-,,,,Transfer(universal)
2505,BLZ,Bluzelle,1,0x5732046a883704404f284ce41ffadd5b007fd668,True,BluzelleToken,0,-,,,,-,,,,Transfer(universal)
2530,FSN,Fusion,1,0x9AfC975EdB8a0B57f066e8e0A72A5e2ADbdCb605,True,Token,0,-,,,,-,,,,Transfer(universal)
