cohort,project,month,pq_usd,tvl_usd,turnover
LENDING,zerolend,2023-10,24263589.53012343,1097055.0,22.117021963459838
LENDING,zerolend,2023-11,22853572.02461261,1257999.0,18.166605875372404
LENDING,zerolend,2023-12,41187878.83258749,3116954.0,13.214143947131555
LENDING,zerolend,2024-01,89083599.3662956,34136987.0,2.609591741834029
LENDING,zerolend,2024-02,164082432.3279575,60824936.0,2.697617837657199
LENDING,zerolend,2024-03,153924979.2465829,89949906.0,1.7112300178121687
LENDING,zerolend,2024-04,97274970.6286163,211285970.0,0.4603948413073348
LENDING,zerolend,2024-05,51192807.152659014,240746687.0,0.2126417928760906
LENDING,zerolend,2024-06,2579758.444292818,283021379.0,0.00911506563005199
LENDING,zerolend,2024-07,465285.38175980165,273706179.0,0.0016999447489996259
LENDING,zerolend,2024-08,236499.5812006081,205947797.0,0.0011483472251009711
LENDING,zerolend,2024-09,94277.13775866515,224251014.0,0.0004204089697389959
LENDING,zerolend,2024-10,135592.75364757798,228761863.0,0.0005927244684468144
LENDING,zerolend,2024-11,137530.17348769784,285150939.0,0.0004823065775971295
LENDING,zerolend,2024-12,807604.659887117,231150154.0,0.003493853003823294
LENDING,zerolend,2025-01,62200830.06380674,179318965.0,0.34687256902139013
LENDING,zerolend,2025-02,57888025.279886305,88214649.0,0.6562178270401133
LENDING,zerolend,2025-03,39382576.98285276,39259802.0,1.0031272440664056
LENDING,zerolend,2025-04,523321.5220148782,42499903.0,0.0123134756805181
LENDING,zerolend,2025-05,153731.37833027227,34832842.0,0.004413403256911173
LENDING,zerolend,2025-06,47191.08911470307,48800564.0,0.0009670193384384466
LENDING,zerolend,2025-07,192313.7858120318,59200605.0,0.003248510480797144
LENDING,zerolend,2025-08,41726.457776836716,74955336.0,0.0005566842869844078
LENDING,zerolend,2025-09,108404.34951248967,62936190.0,0.0017224485548376805
LENDING,zerolend,2025-10,271937.4125400056,40209402.0,0.0067630305106254895
LENDING,zerolend,2025-11,61347.37322487584,17251485.0,0.003556063331642223
LENDING,zerolend,2025-12,75503.72242274748,10103390.0,0.007473107780927736
LENDING,zerolend,2026-01,413329.4425199292,8066095.0,0.051242818553454826
LENDING,zerolend,2026-02,393732.3495547953,6136975.0,0.06415739831998588
LENDING,zerolend,2026-03,101278.60916298085,5931145.0,0.017075726383856887
LENDING,zerolend,2026-04,46518.04808998863,6041710.0,0.007699483770321421
LENDING,zerolend,2026-05,1461.101853362,5454261.0,0.00026788264319620934
LENDING,zerolend,2026-06,70569.04119999999,4604230.0,0.015327001735360743
LENDING,aave_horizon,2025-10,120515416.16083898,322145954.0,0.374101908356853
LENDING,aave_horizon,2025-11,67943013.65096174,397462812.0,0.17094181291849195
LENDING,aave_horizon,2025-12,84248237.72058623,388743151.0,0.21671954220638148
LENDING,aave_horizon,2026-01,50185482.27157715,383173686.0,0.13097319598187948
LENDING,aave_horizon,2026-02,26860739.42709149,346366337.0,0.07755008659254173
LENDING,aave_horizon,2026-03,41390412.32493789,247453877.0,0.16726515998348204
LENDING,aave_horizon,2026-04,59571262.84549591,341610358.0,0.17438365509249548
LENDING,aave_horizon,2026-05,54948815.431494184,345172211.0,0.1591924659065158
LENDING,aave_horizon,2026-06,54771484.14575555,297381890.0,0.18417894965209736
PERPETUAL,gmx,2021-08,152.52975663036477,9834.0,0.015510449118401949
PERPETUAL,gmx,2021-09,442525321.2982609,32413785.0,13.652380346764838
PERPETUAL,gmx,2021-10,815426935.8204651,74588668.0,10.932316633144127
PERPETUAL,gmx,2021-11,1673514184.4640877,121950691.0,13.722875784804595
PERPETUAL,gmx,2021-12,2087567321.5353272,108117194.0,19.308374961482325
PERPETUAL,gmx,2022-01,7397359209.898256,213280312.0,34.683741506802825
PERPETUAL,gmx,2022-02,5566180038.448622,256139894.0,21.7310156240192
PERPETUAL,gmx,2022-03,6482172030.818664,321274142.0,20.176451146879614
PERPETUAL,gmx,2022-04,5310232504.337243,330142134.0,16.08468582909579
PERPETUAL,gmx,2022-05,5602586195.298359,321240887.0,17.440451766958166
PERPETUAL,gmx,2022-06,3759294610.662508,226295397.0,16.612333527325383
PERPETUAL,gmx,2022-07,5023129639.642943,305369280.0,16.449361375325452
PERPETUAL,gmx,2022-08,6816908318.819157,356839462.0,19.10357189928494
PERPETUAL,gmx,2022-09,9337823596.452991,443800829.0,21.040572676471932
PERPETUAL,gmx,2022-10,5550291092.573135,488577773.0,11.36009740781461
PERPETUAL,gmx,2022-11,11945060277.075232,444440775.0,26.876607523410136
PERPETUAL,gmx,2022-12,3958921721.3405333,461574436.0,8.576995198539404
PERPETUAL,gmx,2023-01,6149278898.082935,514873902.0,11.943271690789516
PERPETUAL,gmx,2023-02,7017943588.558748,650395496.0,10.790270891664889
PERPETUAL,gmx,2023-03,9575457402.40831,617529593.0,15.506070495974287
PERPETUAL,gmx,2023-04,9018495288.118612,690467522.0,13.061433015698908
PERPETUAL,gmx,2023-05,4234088144.8563495,616940242.0,6.863044192303392
PERPETUAL,gmx,2023-06,4718619057.153403,599234237.0,7.874414987996428
PERPETUAL,gmx,2023-07,2637782786.396539,569135007.0,4.634722436598491
PERPETUAL,gmx,2023-08,1586505957.1890106,486570675.0,3.2605868760771712
PERPETUAL,gmx,2023-09,779984792.3748082,477162034.0,1.6346329690907642
PERPETUAL,gmx,2023-10,1902905423.6031516,497085801.0,3.8281226697182436
PERPETUAL,gmx,2023-11,2381992394.304,554288210.0,4.2973896094668875
PERPETUAL,gmx,2023-12,2470056430.383745,615128937.0,4.015510052949671
PERPETUAL,gmx,2024-01,1801095916.89062,591270582.0,3.046144982891471
