cmc_id,symbol,dl_slug,dl_category,tvl_present,tvl_start,tvl_end,tvl_last_usd,tvl_status,fees_present,fees_start,fees_end,fees_30d,fees_status,rev_present,rev_start,rev_end,rev_30d,dex_present,dex_start,dex_end,dex_30d,dex_status,deriv_present,deriv_status,opt_present,opt_status,opt_start,opt_end,bridge_vol,apy_present,apy_npools,apy_tvl_usd,apy_wmean_pct
6622,HAKKA,hakka-finance,Derivatives,Y,2020-10-31,2026-06-25,3428888.0,200,N,,,,400,N,,,,N,,,,400,N,402,,,,,,N,0,,
3748,HXRO,hxro-network,Derivatives,Y,2023-02-22,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,N,402,,,,,,N,0,,
7535,KP3R,keep3r-network,Derivatives,Y,2021-10-03,2026-06-25,759840.0,200,N,,,,400,N,,,,N,,,,400,N,402,,,,,,N,0,,
7102,LINA,linear-finance,Derivatives,Y,2021-12-19,2026-06-25,4851.0,200,N,,,,400,N,,,,N,,,,400,N,402,,,,,,N,0,,
7857,MIR,mirror,Derivatives,Y,2021-04-05,2023-10-11,,200,N,,,,400,N,,,,N,,,,400,N,402,,,,,,N,0,,
36410,MYX,myx-finance,Derivatives,Y,2024-03-17,2026-06-25,150848.0,200,Y,2025-03-30,2026-06-24,,200,Y,2025-03-30,2026-06-24,,N,,,,400,N,402,,,,,,N,0,,
1732,NMR,erasure,Derivatives,Y,2021-03-19,2026-06-25,4834.0,200,N,,,,400,N,,,,N,,,,400,N,402,,,,,,N,0,,
30083,ATH,aethir,Developer Tools,Y,2025-10-28,2026-06-25,,200,Y,2024-10-30,2026-06-24,3261412.0,200,Y,2024-10-30,2026-06-24,652281.0,N,,,,400,,,,,,,,N,0,,
6719,GRT,the-graph,Developer Tools,Y,2025-07-15,2026-06-25,,200,Y,2022-12-14,2026-06-24,29587.0,200,Y,2022-12-14,2026-06-24,,N,,,,400,,,,,,,,N,0,,
36119,WAL,walrus-protocol,Developer Tools,N,,,,200,Y,2025-03-24,2026-06-23,2904.0,200,Y,2025-03-24,2026-06-23,2904.0,N,,,,400,,,,,,,,N,0,,
7064,BAKE,bakeryswap,Dexs,Y,2021-07-11,2026-06-25,2814905.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
1573,CASINO,defyswap,Dexs,Y,2021-12-10,2026-06-25,52.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
1934,LRC,loopring,Dexs,Y,2020-08-29,2026-06-25,8101663.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,Y,14,795130.0,0.12
