cmc_id,symbol,chainid,address,holder_count,est_transfers,est_getlogs_calls
37005,CRCLX,1,0xfebded1b0986a8ee107f5ab1a1c5a813491deceb,318,12720,25
4490,EMRX,1,0xbdbC2a5B32F3a5141ACd18C39883066E4daB9774,319,12760,26
2558,INSTAR,1,0x8193711b2763bc7dfd67da0d6c8c26642eafdaf3,351,14040,28
3791,JWL,1,0x8275ebf521dc217aa79c88132017a5bcef001dd9,380,15200,30
2399,INT,1,0xbe038a2fdfec62cf1bed852f141a43005035edcc,385,15400,31
4197,SHR,1,0x192675d1E131b9E339F16603E21b01A845D8C21e,394,15760,32
3404,WIX,1,0x7ba19b7f7d106a9a1e0985397b94f38eee0b555e,397,15880,32
3515,DEX,1,0x497bAEF294c11a5f0f5Bea3f2AdB3073DB448B56,404,16160,32
11498,CBG,1,0x1900E8B5619a3596745F715d0427Fe617c729BA9,415,16600,33
5841,NEST,1,0xcd6926193308d3B371FdD6A6219067E550000000,426,17040,34
1461,ROUND,1,0x4993CB95c7443bdC06155c5f5688Be9D8f6999a5,429,17160,34
5844,CIPHC,1,0x83eB94cB563146a42Fe0a8b3D051F2387A7FB81f,453,18120,36
2599,NOAH,1,0x41b3F18c6384Dc9A39c33AFEcA60d9b8e61eAa9F,465,18600,37
1709,QAU,1,0x671abbe5ce652491985342e85428eb1b07bc6c64,495,19800,40
30096,DEGEN,1,0xfee293840d23b0b2de8c55e1cf7a9f01c157767c,495,19800,40
31503,BWB,1,0xac6DB8954b73EbF10e84278AC8b9B22a781615D9,496,19840,40
4281,BHT,1,0xfc29b6e626b67776675fff55d5bc0452d042f434,500,20000,40
4220,XAC,1,0xde4c5a791913838027a2185709e98c5c6027ea63,505,20200,40
32272,PUMPBTC,1,0xf469fbd2abcd6b9de8e169d128226c0fc90a012e,538,21520,43
6733,SYBC,1,0x69428bb4272e3181de9e3cab461e19b0131855c8,544,21760,44
2307,BIX,1,0x009c43b42aefac590c719e971020575974122803,560,22400,45
3636,LML,1,0x25b6325f5bb1c1e03cfbc3e53f470e1f1ca022e3,578,23120,46
1989,COS,1,0x7d3cb11f8c13730c24d01826d8f2005f0e1b348f,584,23360,47
4981,TAGZ5,1,0x4d0425e47ee2d16b94c036715dfcb52a0cebc4dc,593,23720,47
5600,ATT,1,0x89Fb927240750c1B15d4743cd58440fc5f14A11C,605,24200,48
5277,SNB,1,0x179e31fb25e433441a2839389a7b8ec9c4654b7b,613,24520,49
11374,D,1,0x33b481CbBF3c24f2B3184Ee7Cb02dAAD1C4F49A8,615,24600,49
3742,BNANA,1,0x07ef9e82721ac16809d24dafbe1792ce01654db4,633,25320,51
7726,ICHI,1,0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6,652,26080,52
1483,VSL,1,0x5c543e7ae0a1104f78406c340e9c64fd9fce5170,659,26360,53
5072,RKN,1,0x6e5a43db10b04701385a34afb670e404bc7ea597,668,26720,53
32306,FBTC,1,0xC96dE26018A54D51c097160568752c4E3BD6C364,689,27560,55
2455,PRS,1,0xe0d95530820aafc51b1d98023aa1ff000b78d8b2,693,27720,55
34103,AIXBT,1,0x0D37aF9D8AE74F35F3A38bD2a08FcB29890Ca6d2,697,27880,56
5677,IZE,1,0x6944d3e38973C4831dA24E954fbD790c7E688bDd,701,28040,56
1995,TGT,1,0xac3da587eac229c9896d919abc235ca4fd7f72c1,714,28560,57
5614,ZLW,1,0x5319e86F0e41a06E49eb37046b8c11D78bcAd68C,718,28720,57
37004,TSLAX,1,0x8ad3c73f833d3f9a523ab01476625f269aeb7cf0,718,28720,57
33310,xSolvBTC,1,0xd9d920aa40f578ab794426f5c90f6c731d159def,731,29240,58
2082,ICOS,1,0x014b50466590340d41307cc54dcee990c8d58aa8,737,29480,59
1815,MBRS,1,0x386467f1f3ddbe832448650418311a479eecfc57,742,29680,59
5514,TTT,1,0x2494a68C1484376fEf880b4c24D91f049d29B02A,747,29880,60
2873,MET,1,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,748,29920,60
2191,PAYX,1,0x62a56a4a2ef4d355d34d10fbf837e747504d38d4,751,30040,60
3787,INNBCL,1,0x0Cc9FCCFF81252F4bd8C5c6b359B14ae2Ed851cf,779,31160,62
5620,EXE,1,0x412d397ddca07d753e3e0c61e367fb1b474b3e7d,781,31240,62
8119,SFP,1,0x12e2b8033420270db2f3b328e32370cb5b2ca134,783,31320,63
7288,XVS,1,0xd3CC9d8f3689B83c91b7B59cAB4946B063EB894A,791,31640,63
17520,ORBR,1,0xdA30f261a962d5AAe94C9ecd170544600d193766,796,31840,64
2324,ONE,1,0x946551dd05c5abd7cc808927480225ce36d8c475,807,32280,65
346,SCOT,1,0x28ed4FD6DeDB226B16b92CE6997f7CdfDf0c519B,817,32680,65
7503,BHAO,1,0x6d7c7d764d6f1DFa256C74AbB4C4d7861d8EE64C,863,34520,69
39711,STRCX,1,0x1aad217b8f78dba5e6693460e8470f8b1a3977f3,864,34560,69
23782,LSETH,1,0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549,881,35240,70
5268,EWT,1,0xB66a5D30D04f076E78ffB0d045C55846Fdcde928,903,36120,72
4105,XCM,1,0x36ac219f90f5a6a3c77f2a7b660e3cc701f68e25,903,36120,72
3589,ETHM,1,0x37F04733C7E1C762f0Ed86533c9052bE5822c1fd,939,37560,75
2548,POA,1,0x6758b7d441a9739b98552b373703d8d3d14f9e62,941,37640,75
36175,UNIBTC,1,0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,942,37680,75
3673,ASD,1,0xff742d05420b6aca4481f635ad8341f81a6300c2,962,38480,77
2538,NEC,1,0xcc80c051057b774cd75067dc48f8987c4eb97a5e,1005,40200,80
1481,NXC,1,0x45e42D659D9f9466cD5DF622506033145a9b89Bc,1005,40200,80
38056,CRCLon,1,0x3632DEa96A953C11dac2f00b4A05a32CD1063fAE,1007,40280,81
